First Byte, Second Byte, Brainwave Value, 2
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,1,-2047,
248,85,-1963,
248,154,-1894,
248,227,-1821,
249,50,-1742,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
249,165,-1627,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,18,-2030,
248,94,-1954,
1,138,394,
250,103,-1433,
249,197,-1595,
7,255,2047,
251,61,-1219,
248,106,-1942,
248,197,-1851,
249,18,-1774,
249,85,-1707,
249,151,-1641,
252,7,-1017,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,1,-2047,
248,85,-1963,
248,153,-1895,
248,223,-1825,
249,63,-1729,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,41,-2007,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,47,-2001,
248,124,-1924,
254,147,-365,
248,183,-1865,
251,71,-1209,
7,255,2047,
251,69,-1211,
248,143,-1905,
248,232,-1816,
249,52,-1740,
249,115,-1677,
249,179,-1613,
0,156,156,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,24,-2024,
248,100,-1948,
248,190,-1858,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,19,-2029,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
255,101,-155,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
252,187,-837,
5,232,1512,
7,255,2047,
7,255,2047,
7,92,1884,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,39,-1753,
7,255,2047,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
5,26,1306,
4,7,1031,
7,255,2047,
7,255,2047,
251,27,-1253,
248,0,-2048,
248,0,-2048,
248,0,-2048,
248,0,-2048,
