First Byte, Second Byte, Brainwave Value, 5
5,72,1352,
5,12,1292,
4,219,1243,
4,173,1197,
4,136,1160,
3,185,953,
4,72,1096,
248,35,-2013,
248,0,-2048,
3,249,1017,
5,122,1402,
5,59,1339,
5,7,1287,
4,215,1239,
4,176,1200,
4,132,1156,
4,85,1109,
1,252,508,
248,0,-2048,
254,130,-382,
5,100,1380,
5,35,1315,
4,236,1260,
4,188,1212,
4,148,1172,
4,99,1123,
4,65,1089,
3,41,809,
248,0,-2048,
248,0,-2048,
5,202,1482,
5,128,1408,
5,70,1350,
5,18,1298,
4,227,1251,
4,186,1210,
4,137,1161,
4,102,1126,
248,0,-2048,
248,0,-2048,
5,196,1476,
5,116,1396,
5,56,1336,
5,5,1285,
4,213,1237,
4,173,1197,
4,128,1152,
4,84,1108,
253,175,-593,
248,0,-2048,
4,192,1216,
5,73,1353,
5,12,1292,
4,216,1240,
4,169,1193,
4,129,1153,
4,87,1111,
4,44,1068,
3,11,779,
248,0,-2048,
255,186,-70,
5,32,1312,
4,225,1249,
4,172,1196,
4,128,1152,
4,87,1111,
4,51,1075,
4,5,1029,
3,233,1001,
248,0,-2048,
248,0,-2048,
5,49,1329,
4,233,1257,
4,181,1205,
4,133,1157,
4,91,1115,
4,55,1079,
4,18,1042,
3,235,1003,
248,0,-2048,
248,0,-2048,
5,100,1380,
5,21,1301,
4,220,1244,
4,170,1194,
4,129,1153,
4,92,1116,
4,49,1073,
4,7,1031,
253,34,-734,
248,0,-2048,
4,28,1052,
5,24,1304,
4,220,1244,
4,171,1195,
4,128,1152,
4,88,1112,
4,50,1074,
4,6,1030,
3,42,810,
248,0,-2048,
254,88,-424,
5,4,1284,
4,196,1220,
4,147,1171,
4,102,1126,
4,65,1089,
2,172,684,
4,7,1031,
3,200,968,
248,0,-2048,
248,0,-2048,
5,60,1340,
4,247,1271,
4,194,1218,
4,147,1171,
4,103,1127,
4,68,1092,
4,23,1047,
3,245,1013,
248,0,-2048,
248,0,-2048,
5,67,1347,
4,245,1269,
4,188,1212,
4,141,1165,
4,99,1123,
4,64,1088,
4,21,1045,
3,236,1004,
253,142,-626,
248,0,-2048,
3,133,901,
5,9,1289,
4,204,1228,
4,155,1179,
4,113,1137,
4,75,1099,
3,230,998,
3,251,1019,
1,218,474,
248,0,-2048,
252,85,-939,
5,42,1322,
4,234,1258,
4,183,1207,
4,137,1161,
4,98,1122,
4,24,1048,
4,19,1043,
3,240,1008,
248,0,-2048,
248,0,-2048,
5,80,1360,
5,8,1288,
4,210,1234,
4,163,1187,
4,120,1144,
4,83,1107,
4,38,1062,
4,3,1027,
248,0,-2048,
248,0,-2048,
5,98,1378,
5,18,1298,
4,217,1241,
4,168,1192,
4,123,1147,
4,89,1113,
4,50,1074,
4,5,1029,
253,35,-733,
248,0,-2048,
0,192,192,
5,66,1346,
5,5,1285,
4,209,1233,
4,163,1187,
4,121,1145,
4,82,1106,
4,37,1061,
3,150,918,
248,0,-2048,
251,4,-1276,
5,56,1336,
4,246,1270,
4,195,1219,
4,148,1172,
4,107,1131,
3,114,882,
4,40,1064,
3,246,1014,
248,0,-2048,
248,0,-2048,
5,153,1433,
5,76,1356,
5,20,1300,
4,226,1250,
4,180,1204,
4,144,1168,
4,96,1120,
4,56,1080,
248,0,-2048,
248,0,-2048,
5,141,1421,
5,60,1340,
5,4,1284,
4,210,1234,
4,164,1188,
4,124,1148,
4,83,1107,
4,39,1063,
254,104,-408,
248,0,-2048,
255,39,-217,
5,99,1379,
5,35,1315,
4,237,1261,
4,189,1213,
4,151,1175,
4,91,1115,
4,65,1089,
3,38,806,
248,0,-2048,
249,206,-1586,
5,104,1384,
5,37,1317,
4,240,1264,
4,192,1216,
4,148,1172,
4,112,1136,
4,64,1088,
4,33,1057,
248,0,-2048,
248,0,-2048,
5,114,1394,
5,40,1320,
4,241,1265,
4,192,1216,
4,148,1172,
4,112,1136,
4,65,1089,
4,26,1050,
248,0,-2048,
248,0,-2048,
5,112,1392,
5,28,1308,
4,229,1253,
4,180,1204,
4,135,1159,
4,99,1123,
4,55,1079,
4,12,1036,
255,103,-153,
248,0,-2048,
2,188,700,
5,27,1307,
4,224,1248,
4,172,1196,
4,129,1153,
4,92,1116,
1,133,389,
4,43,1067,
2,53,565,
248,0,-2048,
248,6,-2042,
5,106,1386,
5,39,1319,
4,241,1265,
4,194,1218,
4,149,1173,
4,107,1131,
4,66,1090,
4,33,1057,
248,0,-2048,
248,0,-2048,
5,133,1413,
5,55,1335,
5,0,1280,
4,204,1228,
4,160,1184,
4,122,1146,
4,76,1100,
4,38,1062,
248,0,-2048,
248,0,-2048,
5,120,1400,
5,67,1347,
5,7,1287,
4,213,1237,
4,167,1191,
4,129,1153,
4,86,1110,
4,41,1065,
255,43,-213,
248,0,-2048,
253,188,-580,
5,107,1387,
5,43,1323,
4,247,1271,
4,198,1222,
4,155,1179,
4,117,1141,
4,70,1094,
3,197,965,
248,0,-2048,
248,0,-2048,
5,194,1474,
5,117,1397,
5,57,1337,
5,6,1286,
4,216,1240,
4,176,1200,
4,128,1152,
4,91,1115,
248,0,-2048,
248,0,-2048,
4,245,1269,
5,203,1483,
5,139,1419,
5,84,1364,
5,35,1315,
4,249,1273,
4,198,1222,
4,154,1178,
248,0,-2048,
248,0,-2048,
3,80,848,
5,217,1497,
5,152,1432,
5,97,1377,
5,44,1324,
4,252,1276,
0,185,185,
4,226,1250,
252,110,-914,
248,0,-2048,
248,0,-2048,
6,86,1622,
6,8,1544,
5,202,1482,
5,147,1427,
5,97,1377,
5,48,1328,
4,251,1275,
4,210,1234,
248,0,-2048,
248,0,-2048,
6,22,1558,
5,200,1480,
5,139,1419,
5,85,1365,
5,41,1321,
248,0,-2048,
248,31,-2017,
3,61,829,
248,0,-2048,
248,0,-2048,
7,69,1861,
7,50,1842,
6,230,1766,
6,163,1699,
6,100,1636,
6,44,1580,
5,241,1521,
5,187,1467,
252,43,-981,
248,0,-2048,
6,10,1546,
6,130,1666,
6,58,1594,
5,251,1531,
5,196,1476,
5,147,1427,
5,93,1373,
5,41,1321,
255,165,-91,
248,0,-2048,
253,164,-604,
6,66,1602,
5,249,1529,
5,188,1468,
5,134,1414,
5,84,1364,
5,38,1318,
4,243,1267,
4,137,1161,
248,0,-2048,
248,0,-2048,
5,251,1531,
5,179,1459,
5,119,1399,
5,67,1347,
5,17,1297,
4,230,1254,
4,181,1205,
4,145,1169,
248,0,-2048,
248,0,-2048,
5,184,1464,
5,211,1491,
5,147,1427,
5,91,1371,
5,40,1320,
5,1,1281,
4,208,1232,
4,161,1185,
248,218,-1830,
248,0,-2048,
3,104,872,
5,209,1489,
5,144,1424,
5,87,1367,
5,37,1317,
4,205,1229,
253,163,-605,
4,251,1275,
253,148,-620,
248,0,-2048,
248,2,-2046,
6,69,1605,
5,249,1529,
5,187,1467,
5,132,1412,
5,83,1363,
5,34,1314,
4,240,1264,
4,167,1191,
248,0,-2048,
248,0,-2048,
6,18,1554,
5,197,1477,
5,137,1417,
5,84,1364,
5,35,1315,
4,249,1273,
4,198,1222,
4,160,1184,
248,0,-2048,
248,0,-2048,
6,27,1563,
5,201,1481,
5,138,1418,
5,84,1364,
5,35,1315,
4,249,1273,
4,198,1222,
4,153,1177,
248,133,-1915,
248,0,-2048,
2,83,595,
5,216,1496,
5,150,1430,
5,92,1372,
5,41,1321,
4,89,1113,
248,0,-2048,
3,115,883,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,38,1830,
6,209,1745,
6,138,1674,
6,75,1611,
6,18,1554,
5,217,1497,
5,163,1443,
5,119,1399,
248,0,-2048,
248,0,-2048,
6,141,1677,
6,59,1595,
5,250,1530,
5,193,1473,
5,138,1418,
5,91,1371,
5,37,1317,
4,250,1274,
248,0,-2048,
248,0,-2048,
6,51,1587,
5,220,1500,
5,156,1436,
5,102,1382,
5,52,1332,
5,9,1289,
4,216,1240,
4,170,1194,
249,206,-1586,
248,0,-2048,
1,210,466,
5,225,1505,
5,157,1437,
5,101,1381,
5,50,1330,
5,4,1284,
4,212,1236,
4,166,1190,
3,90,858,
248,0,-2048,
252,55,-969,
5,172,1452,
5,104,1384,
5,49,1329,
4,253,1277,
4,208,1232,
4,164,1188,
4,120,1144,
4,88,1112,
248,0,-2048,
248,0,-2048,
5,130,1410,
5,56,1336,
5,2,1282,
4,209,1233,
4,164,1188,
4,124,1148,
4,77,1101,
4,43,1067,
248,0,-2048,
248,0,-2048,
5,149,1429,
5,68,1348,
5,10,1290,
4,215,1239,
4,169,1193,
4,133,1157,
4,88,1112,
4,48,1072,
249,83,-1709,
248,0,-2048,
2,77,589,
5,120,1400,
5,57,1337,
5,4,1284,
4,213,1237,
3,194,962,
248,0,-2048,
5,24,1304,
252,42,-982,
248,0,-2048,
248,116,-1932,
6,85,1621,
6,8,1544,
5,202,1482,
5,148,1428,
5,98,1378,
3,112,880,
5,34,1314,
3,150,918,
248,0,-2048,
248,0,-2048,
6,124,1660,
6,40,1576,
5,232,1512,
5,176,1456,
5,121,1401,
5,73,1353,
5,21,1301,
4,234,1258,
248,0,-2048,
248,0,-2048,
6,2,1538,
5,173,1453,
5,113,1393,
5,58,1338,
5,9,1289,
4,227,1251,
4,170,1194,
4,139,1163,
248,18,-2030,
248,0,-2048,
0,215,215,
5,219,1499,
5,153,1433,
5,98,1378,
5,45,1325,
5,0,1280,
4,209,1233,
4,164,1188,
3,229,997,
248,0,-2048,
252,69,-955,
5,154,1434,
5,86,1366,
5,32,1312,
4,236,1260,
4,194,1218,
4,153,1177,
4,104,1128,
4,71,1095,
248,0,-2048,
248,0,-2048,
5,165,1445,
5,89,1369,
5,34,1314,
4,237,1261,
4,192,1216,
4,149,1173,
4,105,1129,
4,68,1092,
248,0,-2048,
248,0,-2048,
5,129,1409,
5,49,1329,
4,246,1270,
4,197,1221,
4,152,1176,
4,114,1138,
4,81,1105,
4,36,1060,
249,109,-1683,
248,0,-2048,
1,19,275,
5,118,1398,
5,56,1336,
5,3,1283,
4,211,1235,
4,168,1192,
4,128,1152,
4,82,1106,
2,184,696,
248,0,-2048,
248,69,-1979,
5,150,1430,
5,83,1363,
5,26,1306,
4,233,1257,
4,187,1211,
4,145,1169,
4,101,1125,
4,69,1093,
248,0,-2048,
248,0,-2048,
5,125,1405,
5,53,1333,
4,252,1276,
4,203,1227,
4,161,1185,
255,246,-10,
1,40,296,
4,136,1160,
248,0,-2048,
248,0,-2048,
5,232,1512,
5,225,1505,
5,161,1441,
5,103,1383,
5,52,1332,
5,5,1285,
4,213,1237,
4,169,1193,
255,106,-150,
248,0,-2048,
3,42,810,
5,160,1440,
5,96,1376,
5,39,1319,
4,246,1270,
4,209,1233,
4,38,1062,
4,123,1147,
2,100,612,
248,0,-2048,
248,0,-2048,
5,195,1475,
5,123,1403,
5,67,1347,
5,17,1297,
4,226,1250,
4,183,1207,
4,135,1159,
4,102,1126,
248,0,-2048,
248,0,-2048,
5,186,1466,
5,108,1388,
5,51,1331,
5,0,1280,
4,209,1233,
4,167,1191,
4,120,1144,
4,83,1107,
248,0,-2048,
248,0,-2048,
5,170,1450,
5,92,1372,
5,33,1313,
4,236,1260,
4,189,1213,
4,152,1176,
4,107,1131,
4,65,1089,
252,47,-977,
248,0,-2048,
0,103,103,
5,129,1409,
5,66,1346,
5,11,1291,
4,218,1242,
4,176,1200,
4,133,1157,
4,88,1112,
3,200,968,
248,0,-2048,
248,0,-2048,
5,149,1429,
5,77,1357,
5,22,1302,
4,229,1253,
4,182,1206,
4,139,1163,
4,98,1122,
4,66,1090,
248,0,-2048,
248,0,-2048,
5,148,1428,
5,74,1354,
5,18,1298,
4,225,1249,
4,178,1202,
4,140,1164,
4,92,1116,
4,56,1080,
248,0,-2048,
248,0,-2048,
5,20,1300,
5,124,1404,
5,64,1344,
5,10,1290,
4,218,1242,
4,178,1202,
4,131,1155,
4,89,1113,
253,37,-731,
248,0,-2048,
255,66,-190,
5,152,1432,
5,88,1368,
5,34,1314,
4,241,1265,
4,199,1223,
4,105,1129,
4,109,1133,
2,133,645,
248,0,-2048,
248,0,-2048,
5,214,1494,
5,139,1419,
5,83,1363,
5,29,1309,
4,240,1264,
4,195,1219,
4,149,1173,
4,115,1139,
248,0,-2048,
248,0,-2048,
5,203,1483,
5,124,1404,
5,67,1347,
5,16,1296,
4,224,1248,
4,183,1207,
4,135,1159,
4,97,1121,
248,0,-2048,
248,0,-2048,
5,34,1314,
