First Byte, Second Byte, Brainwave Value, 9
6,121,1657,
253,98,-670,
248,0,-2048,
255,143,-113,
5,203,1483,
248,0,-2048,
5,187,1467,
7,115,1907,
7,27,1819,
6,212,1748,
6,147,1683,
4,201,1225,
248,0,-2048,
248,0,-2048,
7,26,1818,
248,0,-2048,
253,187,-581,
7,193,1985,
7,96,1888,
7,18,1810,
6,203,1739,
6,150,1686,
248,0,-2048,
248,0,-2048,
7,106,1898,
252,186,-838,
249,74,-1718,
7,224,2016,
7,120,1912,
7,40,1832,
6,226,1762,
6,165,1701,
248,172,-1876,
248,0,-2048,
3,8,776,
1,75,331,
248,0,-2048,
7,179,1971,
7,183,1975,
7,96,1888,
7,22,1814,
6,211,1747,
0,129,129,
248,0,-2048,
250,93,-1443,
5,229,1509,
248,0,-2048,
2,74,586,
7,249,2041,
7,156,1948,
7,77,1869,
7,7,1799,
6,74,1610,
248,0,-2048,
248,0,-2048,
7,154,1946,
248,88,-1960,
252,123,-901,
7,255,2047,
7,178,1970,
7,98,1890,
7,25,1817,
6,224,1760,
248,0,-2048,
248,0,-2048,
6,102,1638,
254,75,-437,
248,0,-2048,
7,255,2047,
7,202,1994,
7,119,1911,
7,44,1836,
6,235,1771,
250,239,-1297,
248,0,-2048,
0,33,33,
4,43,1067,
248,0,-2048,
7,59,1851,
7,229,2021,
7,138,1930,
7,65,1857,
6,250,1786,
3,91,859,
248,0,-2048,
248,14,-2034,
7,20,1812,
248,0,-2048,
0,123,123,
7,255,2047,
7,166,1958,
7,87,1879,
7,17,1809,
6,205,1741,
248,0,-2048,
248,0,-2048,
7,161,1953,
250,84,-1452,
250,34,-1502,
7,255,2047,
7,184,1976,
7,103,1895,
7,32,1824,
6,226,1762,
248,0,-2048,
248,0,-2048,
4,184,1208,
0,7,7,
248,0,-2048,
7,255,2047,
7,208,2000,
7,121,1913,
7,49,1841,
6,236,1772,
254,121,-391,
248,0,-2048,
252,166,-858,
4,242,1266,
248,0,-2048,
5,45,1325,
7,253,2045,
7,165,1957,
7,86,1878,
7,18,1810,
5,147,1427,
248,0,-2048,
248,0,-2048,
7,34,1826,
248,0,-2048,
255,21,-235,
7,255,2047,
7,194,1986,
7,113,1905,
7,40,1832,
6,240,1776,
248,0,-2048,
248,0,-2048,
6,102,1638,
250,199,-1337,
248,0,-2048,
7,255,2047,
7,249,2041,
7,165,1957,
7,89,1881,
7,24,1816,
248,153,-1895,
248,0,-2048,
2,65,577,
2,77,589,
248,0,-2048,
7,255,2047,
7,255,2047,
7,180,1972,
7,103,1895,
7,34,1826,
1,163,419,
248,0,-2048,
250,168,-1368,
6,181,1717,
248,0,-2048,
2,115,627,
7,255,2047,
7,186,1978,
7,107,1899,
7,37,1829,
6,150,1686,
248,0,-2048,
248,0,-2048,
7,166,1958,
248,135,-1913,
251,130,-1150,
7,255,2047,
7,208,2000,
7,123,1915,
7,51,1843,
6,245,1781,
248,0,-2048,
248,0,-2048,
7,6,1798,
255,103,-153,
248,0,-2048,
7,255,2047,
7,200,1992,
7,116,1908,
7,42,1834,
6,233,1769,
251,235,-1045,
248,0,-2048,
255,236,-20,
4,136,1160,
248,0,-2048,
6,244,1780,
7,224,2016,
7,134,1926,
7,56,1848,
6,245,1781,
4,56,1080,
248,0,-2048,
248,0,-2048,
6,240,1776,
248,0,-2048,
255,252,-4,
7,255,2047,
7,167,1959,
7,87,1879,
7,17,1809,
6,212,1748,
248,0,-2048,
248,0,-2048,
7,26,1818,
249,74,-1718,
249,106,-1686,
7,255,2047,
7,213,2005,
7,131,1923,
7,56,1848,
6,250,1786,
248,0,-2048,
248,0,-2048,
4,193,1217,
255,26,-230,
248,0,-2048,
7,255,2047,
7,242,2034,
7,154,1946,
7,77,1869,
7,10,1802,
255,200,-56,
248,0,-2048,
252,251,-773,
5,87,1367,
248,0,-2048,
4,27,1051,
7,255,2047,
7,180,1972,
7,100,1892,
7,29,1821,
5,237,1517,
248,0,-2048,
248,0,-2048,
7,102,1894,
248,0,-2048,
252,246,-778,
7,255,2047,
7,205,1997,
7,124,1916,
7,52,1844,
6,248,1784,
248,0,-2048,
248,0,-2048,
7,52,1844,
252,238,-786,
248,0,-2048,
7,255,2047,
7,218,2010,
7,134,1926,
7,60,1852,
6,251,1787,
249,4,-1788,
248,0,-2048,
1,179,435,
2,201,713,
248,0,-2048,
7,255,2047,
7,244,2036,
7,154,1946,
7,80,1872,
7,9,1801,
2,40,552,
248,0,-2048,
249,222,-1570,
6,169,1705,
248,0,-2048,
1,244,500,
7,255,2047,
7,177,1969,
7,97,1889,
7,26,1818,
6,172,1708,
248,0,-2048,
248,0,-2048,
7,155,1947,
249,20,-1772,
251,148,-1132,
7,255,2047,
7,193,1985,
7,113,1905,
7,40,1832,
6,235,1771,
248,0,-2048,
248,0,-2048,
6,118,1654,
255,207,-49,
248,0,-2048,
7,255,2047,
7,202,1994,
7,117,1909,
7,42,1834,
6,233,1769,
252,143,-881,
248,0,-2048,
255,234,-22,
5,90,1370,
248,0,-2048,
6,93,1629,
7,212,2004,
7,122,1914,
7,45,1837,
6,233,1769,
4,135,1159,
248,0,-2048,
248,0,-2048,
7,93,1885,
248,0,-2048,
255,13,-243,
7,240,2032,
7,144,1936,
7,66,1858,
6,250,1786,
6,194,1730,
248,0,-2048,
248,0,-2048,
7,154,1946,
251,159,-1121,
249,165,-1627,
7,255,2047,
7,157,1949,
7,76,1868,
7,5,1797,
6,199,1735,
248,0,-2048,
248,0,-2048,
4,99,1123,
1,128,384,
248,0,-2048,
7,255,2047,
7,187,1979,
7,103,1895,
7,28,1820,
6,217,1753,
0,9,9,
248,0,-2048,
253,116,-652,
6,146,1682,
248,0,-2048,
2,149,661,
7,205,1997,
7,115,1907,
7,38,1830,
6,227,1763,
5,240,1520,
248,0,-2048,
248,0,-2048,
7,177,1969,
249,25,-1767,
252,189,-835,
7,212,2004,
7,114,1906,
7,35,1827,
6,220,1756,
6,166,1702,
248,0,-2048,
248,0,-2048,
7,129,1921,
255,14,-242,
248,3,-2045,
7,230,2022,
7,122,1914,
7,41,1833,
6,227,1763,
6,164,1700,
250,22,-1514,
248,0,-2048,
3,165,933,
4,215,1239,
248,0,-2048,
7,10,1802,
7,131,1923,
7,44,1836,
6,229,1765,
6,163,1699,
2,101,613,
248,0,-2048,
250,168,-1368,
7,34,1826,
248,0,-2048,
0,197,197,
7,157,1949,
7,67,1859,
6,247,1783,
6,180,1716,
6,101,1637,
248,0,-2048,
248,0,-2048,
7,148,1940,
250,142,-1394,
250,157,-1379,
7,196,1988,
7,96,1888,
7,16,1808,
6,202,1738,
6,146,1682,
248,0,-2048,
248,0,-2048,
6,148,1684,
0,197,197,
248,0,-2048,
7,229,2021,
7,119,1911,
7,37,1829,
6,221,1757,
6,157,1693,
253,37,-731,
248,0,-2048,
0,7,7,
5,218,1498,
248,0,-2048,
5,68,1348,
7,147,1939,
7,58,1850,
6,242,1778,
6,173,1709,
4,204,1228,
248,0,-2048,
248,12,-2036,
7,116,1908,
248,0,-2048,
253,255,-513,
7,169,1961,
7,74,1866,
6,253,1789,
6,186,1722,
6,132,1668,
248,0,-2048,
248,0,-2048,
7,122,1914,
252,88,-936,
248,213,-1835,
7,216,2008,
7,113,1905,
7,32,1824,
6,216,1752,
6,156,1692,
248,0,-2048,
248,0,-2048,
5,51,1331,
3,86,854,
248,0,-2048,
7,210,2002,
7,120,1912,
7,37,1829,
6,219,1755,
6,156,1692,
0,106,106,
248,0,-2048,
252,174,-850,
6,129,1665,
248,0,-2048,
2,66,578,
7,161,1953,
7,70,1862,
6,250,1786,
6,183,1719,
6,2,1538,
