First Byte, Second Byte, Brainwave Value, 26
249,120,-1672,
0,18,18,
249,140,-1652,
249,219,-1573,
250,35,-1501,
255,187,-69,
7,255,2047,
7,255,2047,
248,216,-1832,
249,41,-1751,
249,119,-1673,
2,37,549,
249,142,-1650,
249,195,-1597,
250,13,-1523,
250,101,-1435,
7,255,2047,
7,255,2047,
248,252,-1796,
249,38,-1754,
249,116,-1676,
255,115,-141,
0,241,241,
249,151,-1641,
249,232,-1560,
250,52,-1484,
7,255,2047,
7,255,2047,
255,99,-157,
248,230,-1818,
249,54,-1738,
251,88,-1192,
7,22,1814,
249,61,-1731,
249,150,-1642,
249,228,-1564,
7,88,1880,
7,255,2047,
7,255,2047,
248,141,-1907,
248,227,-1821,
249,54,-1738,
2,81,593,
249,57,-1735,
249,141,-1651,
249,217,-1575,
250,54,-1482,
7,255,2047,
7,255,2047,
248,216,-1832,
249,42,-1750,
249,121,-1671,
3,32,800,
255,19,-237,
249,138,-1654,
249,219,-1573,
250,35,-1501,
7,255,2047,
7,255,2047,
250,230,-1306,
248,252,-1796,
249,75,-1717,
253,140,-628,
4,136,1160,
249,98,-1694,
249,182,-1610,
249,255,-1537,
7,255,2047,
7,255,2047,
4,245,1269,
248,181,-1867,
249,7,-1785,
249,163,-1629,
5,108,1388,
249,50,-1742,
249,136,-1656,
249,214,-1578,
253,27,-741,
7,255,2047,
7,255,2047,
248,178,-1870,
249,4,-1788,
249,85,-1707,
3,6,774,
249,167,-1625,
249,147,-1645,
249,222,-1570,
250,69,-1467,
7,255,2047,
7,255,2047,
248,202,-1846,
248,255,-1793,
249,78,-1714,
255,238,-18,
3,7,775,
249,94,-1698,
249,179,-1613,
249,253,-1539,
7,255,2047,
7,255,2047,
0,8,8,
248,184,-1864,
249,9,-1783,
250,200,-1336,
4,203,1227,
249,52,-1740,
249,138,-1654,
249,214,-1578,
1,71,327,
7,255,2047,
7,255,2047,
248,181,-1867,
249,7,-1785,
249,89,-1703,
