First Byte, Second Byte, Brainwave Value, 3
4,84,1108,
4,36,1060,
3,250,1018,
3,213,981,
3,182,950,
3,144,912,
3,115,883,
248,0,-2048,
248,0,-2048,
4,163,1187,
4,92,1116,
4,42,1066,
4,1,1025,
3,217,985,
3,165,933,
3,167,935,
3,124,892,
251,109,-1171,
248,0,-2048,
3,147,915,
4,181,1205,
4,125,1149,
4,81,1105,
4,38,1062,
4,2,1026,
3,218,986,
3,182,950,
3,59,827,
248,0,-2048,
255,251,-5,
4,160,1184,
4,101,1125,
4,54,1078,
4,12,1036,
3,232,1000,
3,198,966,
3,160,928,
3,133,901,
248,0,-2048,
248,0,-2048,
4,136,1160,
4,71,1095,
4,23,1047,
3,237,1005,
3,200,968,
3,169,937,
3,132,900,
3,101,869,
250,213,-1323,
248,0,-2048,
4,165,1189,
4,90,1114,
4,39,1063,
3,251,1019,
3,213,981,
3,179,947,
3,144,912,
3,112,880,
2,125,637,
248,0,-2048,
4,69,1093,
4,0,1024,
3,204,972,
3,165,933,
3,129,897,
3,101,869,
2,242,754,
3,40,808,
3,3,771,
248,0,-2048,
248,243,-1805,
4,85,1109,
4,26,1050,
3,236,1004,
3,198,966,
3,163,931,
3,134,902,
3,97,865,
3,70,838,
248,0,-2048,
248,0,-2048,
4,113,1137,
4,43,1067,
3,251,1019,
3,211,979,
3,176,944,
3,145,913,
3,107,875,
3,76,844,
255,14,-242,
248,0,-2048,
4,115,1139,
4,52,1076,
4,1,1025,
3,214,982,
3,178,946,
3,146,914,
3,114,882,
3,76,844,
2,216,728,
248,0,-2048,
255,109,-147,
4,75,1099,
4,20,1044,
3,231,999,
3,194,962,
3,162,930,
3,112,880,
3,91,859,
3,69,837,
248,0,-2048,
248,0,-2048,
4,162,1186,
4,97,1121,
4,48,1072,
4,5,1029,
3,224,992,
3,189,957,
3,153,921,
3,121,889,
248,63,-1985,
248,0,-2048,
4,202,1226,
4,129,1153,
4,75,1099,
4,33,1057,
3,248,1016,
3,216,984,
3,178,946,
3,141,909,
1,209,465,
248,0,-2048,
3,80,848,
4,119,1143,
4,65,1089,
4,19,1043,
3,235,1003,
3,201,969,
3,167,935,
3,131,899,
3,106,874,
248,0,-2048,
249,30,-1762,
4,145,1169,
4,83,1107,
4,36,1060,
3,249,1017,
3,214,982,
3,181,949,
3,144,912,
3,115,883,
248,0,-2048,
248,0,-2048,
4,196,1220,
4,124,1148,
4,74,1098,
4,33,1057,
3,248,1016,
3,217,985,
3,177,945,
3,140,908,
