First Byte, Second Byte, Brainwave Value, 22
7,255,2047,
7,168,1960,
248,0,-2048,
248,0,-2048,
1,18,274,
7,255,2047,
7,255,2047,
7,155,1947,
7,197,1989,
6,140,1676,
3,179,947,
7,68,1860,
255,85,-171,
248,0,-2048,
250,150,-1386,
7,255,2047,
7,180,1972,
2,237,749,
251,248,-1032,
0,23,23,
248,0,-2048,
7,255,2047,
1,19,275,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,230,2022,
252,169,-855,
5,9,1289,
248,0,-2048,
6,151,1687,
7,204,1996,
248,0,-2048,
248,0,-2048,
1,216,472,
7,255,2047,
7,255,2047,
255,201,-55,
7,255,2047,
6,88,1624,
7,255,2047,
7,226,2018,
248,0,-2048,
248,0,-2048,
251,196,-1084,
7,255,2047,
7,255,2047,
254,245,-267,
1,5,261,
5,161,1441,
3,230,998,
7,251,2043,
251,122,-1158,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,178,1458,
255,14,-242,
7,228,2020,
2,3,515,
7,245,2037,
5,131,1411,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
252,186,-838,
7,255,2047,
254,44,-468,
6,108,1644,
7,169,1961,
248,0,-2048,
248,0,-2048,
1,161,417,
7,255,2047,
7,255,2047,
251,234,-1046,
4,51,1075,
5,49,1329,
2,193,705,
7,196,1988,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,49,561,
252,68,-956,
254,140,-372,
248,0,-2048,
7,255,2047,
2,41,553,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
2,168,680,
7,255,2047,
2,151,663,
7,216,2008,
3,170,938,
248,0,-2048,
248,0,-2048,
6,33,1569,
7,255,2047,
7,255,2047,
248,0,-2048,
251,125,-1155,
254,237,-275,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,155,-1125,
7,255,2047,
7,255,2047,
0,35,35,
7,255,2047,
5,113,1393,
249,158,-1634,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,108,876,
248,12,-2036,
7,27,1819,
2,55,567,
7,255,2047,
0,173,173,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
4,220,1244,
7,255,2047,
1,124,380,
7,255,2047,
7,89,1881,
248,0,-2048,
248,0,-2048,
249,200,-1592,
7,255,2047,
7,255,2047,
249,90,-1702,
255,102,-154,
253,124,-644,
4,120,1144,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,132,-636,
7,255,2047,
7,255,2047,
2,50,562,
7,255,2047,
7,255,2047,
251,122,-1158,
7,255,2047,
249,40,-1752,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,181,1973,
251,157,-1123,
7,85,1877,
248,79,-1969,
7,255,2047,
6,154,1690,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
250,47,-1489,
7,114,1906,
1,220,476,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,63,-961,
7,255,2047,
7,255,2047,
255,79,-177,
6,85,1621,
7,136,1928,
7,249,2041,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,149,-1899,
7,255,2047,
7,255,2047,
4,181,1205,
255,13,-243,
7,255,2047,
7,243,2035,
7,161,1953,
1,139,395,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,64,1856,
254,21,-491,
7,253,2045,
253,216,-552,
2,28,540,
0,52,52,
248,0,-2048,
248,0,-2048,
4,1,1025,
7,255,2047,
7,255,2047,
253,223,-545,
7,255,2047,
4,83,1107,
4,89,1113,
7,92,1884,
248,0,-2048,
248,0,-2048,
250,111,-1425,
7,255,2047,
7,255,2047,
0,91,91,
4,17,1041,
4,208,1232,
248,0,-2048,
7,255,2047,
253,201,-567,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,156,1948,
249,254,-1538,
3,217,985,
249,124,-1668,
7,255,2047,
4,99,1123,
248,0,-2048,
248,0,-2048,
3,183,951,
7,255,2047,
7,255,2047,
252,18,-1006,
7,255,2047,
254,18,-494,
7,22,1814,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,233,-535,
7,255,2047,
7,255,2047,
253,186,-582,
0,169,169,
254,175,-337,
251,70,-1210,
7,255,2047,
250,251,-1285,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
