First Byte, Second Byte, Brainwave Value, 17
248,0,-2048,
250,102,-1434,
7,255,2047,
6,76,1612,
248,0,-2048,
248,0,-2048,
251,205,-1075,
7,255,2047,
7,255,2047,
255,148,-108,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,117,1909,
248,0,-2048,
248,0,-2048,
4,118,1142,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
2,18,530,
248,0,-2048,
248,0,-2048,
1,103,359,
7,255,2047,
7,255,2047,
251,159,-1121,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,3,-1789,
7,255,2047,
7,255,2047,
7,135,1927,
248,0,-2048,
248,3,-2045,
5,245,1525,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,243,2035,
248,0,-2048,
248,0,-2048,
2,105,617,
7,255,2047,
1,219,475,
248,0,-2048,
248,0,-2048,
5,208,1488,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
6,93,1629,
248,0,-2048,
248,0,-2048,
251,56,-1224,
7,255,2047,
7,255,2047,
251,62,-1218,
248,0,-2048,
248,0,-2048,
4,84,1108,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,116,-396,
7,255,2047,
250,43,-1493,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
2,25,537,
248,0,-2048,
248,0,-2048,
254,53,-459,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
4,187,1211,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,70,-1978,
7,255,2047,
7,255,2047,
1,135,391,
248,0,-2048,
248,189,-1859,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,138,138,
7,255,2047,
2,67,579,
248,0,-2048,
248,0,-2048,
4,11,1035,
