First Byte, Second Byte, Brainwave Value, 1
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,160,1184,
248,0,-2048,
248,0,-2048,
5,116,1396,
7,255,2047,
252,237,-787,
248,0,-2048,
248,0,-2048,
7,101,1893,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,71,71,
7,255,2047,
7,6,1798,
248,0,-2048,
248,0,-2048,
252,153,-871,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
6,50,1586,
7,255,2047,
1,138,394,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,213,-1835,
248,0,-2048,
248,0,-2048,
4,107,1131,
7,255,2047,
6,59,1595,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,51,563,
248,0,-2048,
248,0,-2048,
254,255,-257,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,220,-36,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,188,-1860,
7,255,2047,
7,255,2047,
249,103,-1689,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,85,341,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,165,-1115,
248,0,-2048,
248,0,-2048,
4,122,1146,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,10,1290,
248,0,-2048,
248,0,-2048,
253,235,-533,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,181,-843,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,246,-1802,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,120,888,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,117,-907,
248,0,-2048,
248,0,-2048,
6,90,1626,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,236,-788,
7,255,2047,
4,178,1202,
248,0,-2048,
248,0,-2048,
254,106,-406,
7,255,2047,
7,255,2047,
248,126,-1922,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,99,-1949,
7,255,2047,
7,255,2047,
254,163,-349,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,3,1795,
248,0,-2048,
248,0,-2048,
7,51,1843,
7,255,2047,
0,57,57,
248,0,-2048,
248,0,-2048,
5,82,1362,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,68,1348,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,188,-580,
7,255,2047,
7,255,2047,
248,170,-1878,
248,0,-2048,
252,20,-1004,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,4,-252,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,249,-1543,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,219,731,
248,0,-2048,
248,0,-2048,
2,119,631,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,90,1626,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,11,-1013,
7,255,2047,
7,255,2047,
251,186,-1094,
248,0,-2048,
249,139,-1653,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,23,535,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,204,-820,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,237,1517,
248,0,-2048,
248,0,-2048,
1,119,375,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,56,56,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,109,-1683,
7,255,2047,
7,255,2047,
252,151,-873,
248,0,-2048,
248,54,-1994,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,246,1014,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,89,-167,
248,0,-2048,
248,0,-2048,
7,64,1856,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,87,87,
7,255,2047,
7,255,2047,
249,180,-1612,
248,0,-2048,
252,185,-839,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,241,241,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,138,-1910,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,98,1890,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,57,569,
248,0,-2048,
248,0,-2048,
4,151,1175,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,139,1931,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,138,-630,
7,255,2047,
7,255,2047,
251,90,-1190,
248,0,-2048,
250,29,-1507,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,118,374,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,142,-1138,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,37,1317,
248,0,-2048,
248,0,-2048,
2,109,621,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,106,618,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,54,-1482,
7,255,2047,
7,255,2047,
252,58,-966,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,195,963,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,84,-428,
248,0,-2048,
248,0,-2048,
7,124,1916,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,81,1873,
248,0,-2048,
248,0,-2048,
0,209,209,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,150,-874,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,169,-1879,
7,255,2047,
7,255,2047,
254,191,-321,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,248,1528,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,67,323,
248,0,-2048,
248,0,-2048,
6,7,1543,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,136,-376,
