First Byte, Second Byte, Brainwave Value, 9
7,255,2047,
254,132,-380,
248,0,-2048,
248,0,-2048,
3,218,986,
7,255,2047,
5,1,1281,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,134,1670,
248,0,-2048,
248,0,-2048,
252,201,-823,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
0,246,246,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,191,-1345,
248,0,-2048,
251,6,-1274,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,248,-8,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,170,-854,
248,0,-2048,
248,0,-2048,
6,34,1570,
7,255,2047,
255,243,-13,
248,0,-2048,
248,0,-2048,
3,237,1005,
7,255,2047,
3,245,1013,
248,0,-2048,
248,0,-2048,
254,60,-452,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,221,-291,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,132,-1404,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,127,-385,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,137,-1143,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
5,10,1290,
248,0,-2048,
248,0,-2048,
5,205,1485,
7,255,2047,
4,134,1158,
248,0,-2048,
248,0,-2048,
254,154,-358,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,198,710,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,78,-1970,
7,255,2047,
7,255,2047,
249,202,-1590,
248,0,-2048,
252,93,-931,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,204,-308,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,255,-1281,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,198,966,
248,0,-2048,
248,0,-2048,
255,189,-67,
7,255,2047,
2,144,656,
248,0,-2048,
248,0,-2048,
0,131,131,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
253,133,-635,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,94,-1954,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,229,-1307,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
252,51,-973,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
249,218,-1574,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,93,1885,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,122,634,
248,0,-2048,
248,0,-2048,
2,80,592,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,27,-229,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
250,25,-1511,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
252,59,-965,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
251,54,-1226,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,76,844,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,112,368,
248,0,-2048,
248,0,-2048,
4,3,1027,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,191,-1089,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,136,-1144,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
250,61,-1475,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
2,25,537,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,146,146,
248,0,-2048,
248,0,-2048,
4,237,1261,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
5,227,1507,
7,255,2047,
7,247,2039,
248,0,-2048,
248,0,-2048,
253,154,-614,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,124,-1668,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,238,-1810,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
3,51,819,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,133,-123,
248,0,-2048,
248,0,-2048,
6,150,1686,
7,255,2047,
7,185,1977,
248,0,-2048,
248,0,-2048,
4,75,1099,
7,255,2047,
7,82,1874,
248,0,-2048,
248,0,-2048,
253,206,-562,
7,255,2047,
7,255,2047,
248,0,-2048,
