First Byte, Second Byte, Brainwave Value, 20
249,75,-1717,
249,156,-1636,
249,230,-1562,
250,204,-1332,
7,255,2047,
7,255,2047,
250,239,-1297,
248,182,-1866,
249,7,-1785,
253,54,-714,
249,121,-1671,
249,134,-1658,
249,210,-1582,
250,24,-1512,
7,255,2047,
7,255,2047,
5,80,1360,
248,141,-1907,
248,226,-1822,
249,162,-1630,
250,59,-1477,
249,134,-1658,
249,204,-1588,
250,15,-1521,
6,247,1783,
7,255,2047,
7,255,2047,
248,150,-1898,
248,233,-1815,
249,73,-1719,
254,165,-347,
249,108,-1684,
249,186,-1606,
249,255,-1537,
255,38,-218,
7,255,2047,
7,255,2047,
248,132,-1916,
248,197,-1851,
249,23,-1769,
251,154,-1126,
249,117,-1675,
249,188,-1604,
249,255,-1537,
250,142,-1394,
7,255,2047,
7,255,2047,
254,40,-472,
248,183,-1865,
249,9,-1783,
252,133,-891,
249,205,-1587,
249,137,-1655,
249,212,-1580,
250,26,-1510,
7,255,2047,
7,255,2047,
7,146,1938,
248,138,-1910,
248,221,-1827,
249,249,-1543,
252,94,-930,
249,101,-1691,
249,179,-1613,
249,249,-1543,
5,208,1488,
7,255,2047,
7,255,2047,
248,122,-1926,
248,204,-1844,
249,29,-1763,
251,115,-1165,
249,122,-1670,
249,196,-1596,
250,5,-1531,
253,174,-594,
7,255,2047,
7,255,2047,
248,211,-1837,
248,195,-1853,
249,20,-1772,
252,126,-898,
249,95,-1697,
249,173,-1619,
249,244,-1548,
250,61,-1475,
7,255,2047,
7,255,2047,
255,153,-103,
248,186,-1862,
249,11,-1781,
250,20,-1516,
249,121,-1671,
249,184,-1608,
249,251,-1541,
250,61,-1475,
7,255,2047,
7,255,2047,
7,255,2047,
248,170,-1878,
248,251,-1797,
249,151,-1641,
251,102,-1178,
249,148,-1644,
249,221,-1571,
250,31,-1505,
4,27,1051,
7,255,2047,
7,255,2047,
248,147,-1901,
248,229,-1819,
249,54,-1738,
1,1,257,
249,82,-1710,
249,164,-1628,
249,236,-1556,
253,10,-758,
7,255,2047,
7,255,2047,
249,168,-1624,
248,169,-1879,
248,250,-1798,
0,112,112,
249,117,-1675,
249,89,-1703,
249,168,-1624,
249,243,-1549,
7,255,2047,
7,255,2047,
1,208,464,
248,126,-1922,
248,211,-1837,
252,154,-870,
254,247,-265,
249,37,-1755,
249,119,-1673,
249,195,-1597,
7,255,2047,
7,255,2047,
7,255,2047,
248,77,-1971,
248,163,-1885,
249,67,-1725,
254,249,-263,
249,31,-1761,
249,115,-1677,
249,187,-1605,
2,156,668,
7,255,2047,
7,255,2047,
248,67,-1981,
248,150,-1898,
248,233,-1815,
2,216,728,
248,234,-1814,
249,68,-1724,
249,143,-1649,
251,111,-1169,
7,255,2047,
7,255,2047,
250,132,-1404,
248,106,-1942,
248,189,-1859,
255,40,-216,
249,85,-1707,
249,44,-1748,
249,123,-1669,
249,199,-1593,
7,255,2047,
7,255,2047,
4,40,1064,
248,85,-1963,
248,168,-1880,
251,123,-1157,
253,226,-542,
249,15,-1777,
249,101,-1691,
249,174,-1618,
7,255,2047,
7,255,2047,
7,255,2047,
248,62,-1986,
248,148,-1900,
248,247,-1801,
254,217,-295,
249,26,-1766,
249,107,-1685,
249,182,-1610,
255,149,-107,
7,255,2047,
7,255,2047,
248,68,-1980,
248,149,-1899,
248,232,-1816,
1,234,490,
248,244,-1804,
249,74,-1718,
249,152,-1640,
250,186,-1350,
7,255,2047,
7,255,2047,
253,105,-663,
248,102,-1946,
248,185,-1863,
251,26,-1254,
249,25,-1767,
249,89,-1703,
249,163,-1629,
249,233,-1559,
7,255,2047,
7,255,2047,
6,241,1777,
248,103,-1945,
248,186,-1862,
250,70,-1466,
252,77,-947,
249,60,-1732,
249,140,-1652,
249,213,-1579,
7,76,1868,
7,255,2047,
7,255,2047,
248,90,-1958,
248,172,-1876,
249,14,-1778,
2,102,614,
249,11,-1781,
249,98,-1694,
249,172,-1620,
253,223,-545,
7,255,2047,
7,255,2047,
248,90,-1958,
248,139,-1909,
248,223,-1825,
0,167,167,
248,249,-1799,
249,77,-1715,
249,154,-1638,
249,242,-1550,
7,255,2047,
7,255,2047,
254,147,-365,
248,125,-1923,
248,210,-1838,
255,43,-213,
255,36,-220,
249,12,-1780,
249,95,-1697,
249,173,-1619,
7,255,2047,
7,255,2047,
7,255,2047,
248,59,-1989,
248,142,-1906,
249,202,-1590,
0,103,103,
248,248,-1800,
249,76,-1716,
249,153,-1639,
4,251,1275,
7,255,2047,
7,255,2047,
248,44,-2004,
248,130,-1918,
248,214,-1834,
253,171,-597,
249,26,-1766,
249,106,-1686,
249,179,-1613,
252,156,-868,
7,255,2047,
7,255,2047,
249,10,-1782,
248,136,-1912,
248,217,-1831,
255,175,-81,
249,11,-1781,
249,74,-1718,
249,152,-1640,
249,233,-1559,
7,255,2047,
7,255,2047,
1,5,261,
248,110,-1938,
248,196,-1852,
253,9,-759,
254,127,-385,
249,23,-1769,
249,105,-1687,
249,181,-1611,
7,255,2047,
7,255,2047,
