First Byte, Second Byte, Brainwave Value, 3
248,188,-1860,
250,34,-1502,
254,110,-402,
249,51,-1741,
249,132,-1660,
249,205,-1587,
5,253,1533,
7,255,2047,
7,255,2047,
248,85,-1963,
248,169,-1879,
249,3,-1789,
255,57,-199,
249,42,-1750,
249,124,-1668,
249,198,-1594,
254,85,-427,
7,255,2047,
7,255,2047,
248,130,-1918,
248,150,-1898,
248,232,-1816,
253,219,-549,
249,30,-1762,
249,115,-1677,
249,188,-1604,
250,14,-1522,
7,255,2047,
7,255,2047,
254,217,-295,
248,151,-1897,
248,232,-1816,
250,22,-1514,
249,86,-1706,
249,153,-1639,
249,221,-1571,
250,31,-1505,
7,255,2047,
7,255,2047,
7,254,2046,
248,162,-1886,
248,244,-1804,
249,212,-1580,
255,111,-145,
249,101,-1691,
249,180,-1612,
249,252,-1540,
7,90,1882,
7,255,2047,
7,255,2047,
248,102,-1946,
248,184,-1864,
249,13,-1779,
252,187,-837,
249,86,-1706,
249,165,-1627,
249,234,-1558,
252,73,-951,
7,255,2047,
7,255,2047,
248,214,-1834,
248,188,-1860,
249,13,-1779,
251,94,-1186,
249,108,-1684,
249,181,-1611,
249,248,-1544,
250,102,-1434,
7,255,2047,
7,255,2047,
255,242,-14,
248,171,-1877,
248,253,-1795,
252,28,-996,
251,34,-1246,
249,116,-1676,
249,194,-1598,
250,8,-1528,
7,255,2047,
7,255,2047,
7,255,2047,
248,135,-1913,
248,217,-1831,
249,59,-1733,
250,108,-1428,
249,137,-1655,
249,207,-1585,
250,19,-1517,
5,235,1515,
7,255,2047,
7,255,2047,
248,120,-1928,
248,203,-1845,
249,30,-1762,
255,148,-108,
249,71,-1721,
249,152,-1640,
249,226,-1566,
252,181,-843,
7,255,2047,
7,255,2047,
248,207,-1841,
248,180,-1868,
249,6,-1786,
253,134,-634,
249,62,-1730,
249,143,-1649,
249,217,-1575,
250,38,-1498,
7,255,2047,
7,255,2047,
0,156,156,
248,162,-1886,
248,245,-1803,
251,14,-1266,
250,42,-1494,
249,132,-1660,
249,204,-1588,
250,20,-1516,
7,255,2047,
7,255,2047,
7,255,2047,
248,141,-1907,
248,226,-1822,
250,79,-1457,
1,1,257,
249,60,-1732,
249,143,-1649,
249,218,-1574,
3,187,955,
7,255,2047,
7,255,2047,
248,101,-1947,
248,184,-1864,
249,9,-1783,
252,207,-817,
249,86,-1706,
249,164,-1628,
249,232,-1560,
251,199,-1081,
7,255,2047,
7,255,2047,
249,26,-1766,
248,188,-1860,
249,14,-1778,
1,98,354,
250,30,-1506,
249,90,-1702,
249,171,-1621,
250,6,-1530,
7,255,2047,
7,255,2047,
0,177,177,
248,122,-1926,
248,205,-1843,
252,203,-821,
252,54,-970,
249,55,-1737,
249,135,-1657,
249,207,-1585,
7,255,2047,
7,255,2047,
7,255,2047,
248,105,-1943,
248,187,-1861,
249,88,-1704,
251,74,-1206,
249,91,-1701,
249,167,-1625,
249,235,-1557,
1,118,374,
7,255,2047,
7,255,2047,
248,120,-1928,
248,203,-1845,
249,29,-1763,
0,102,102,
249,59,-1733,
249,142,-1650,
249,217,-1575,
253,6,-762,
7,255,2047,
7,255,2047,
249,118,-1674,
248,156,-1892,
248,238,-1810,
253,236,-532,
249,39,-1753,
249,115,-1677,
249,188,-1604,
250,10,-1526,
7,255,2047,
7,255,2047,
2,6,518,
248,132,-1916,
248,215,-1833,
252,173,-851,
252,252,-772,
249,58,-1734,
249,139,-1653,
249,214,-1578,
7,255,2047,
7,255,2047,
7,255,2047,
248,103,-1945,
248,187,-1861,
249,150,-1642,
0,28,28,
249,42,-1750,
249,124,-1668,
249,200,-1592,
2,49,561,
7,255,2047,
7,255,2047,
248,83,-1965,
248,166,-1882,
248,251,-1797,
2,34,546,
248,255,-1793,
249,87,-1705,
249,164,-1628,
250,196,-1340,
7,255,2047,
7,255,2047,
249,178,-1614,
248,143,-1905,
248,227,-1821,
254,243,-269,
249,148,-1644,
249,78,-1714,
249,157,-1635,
249,233,-1559,
7,255,2047,
7,255,2047,
2,166,678,
248,109,-1939,
248,195,-1853,
252,28,-996,
252,234,-790,
249,44,-1748,
249,125,-1667,
249,200,-1592,
7,255,2047,
7,255,2047,
7,255,2047,
248,85,-1963,
248,168,-1880,
249,137,-1655,
2,99,611,
248,253,-1795,
249,86,-1706,
249,162,-1630,
3,0,768,
7,255,2047,
7,255,2047,
248,42,-2006,
248,125,-1923,
248,211,-1837,
0,122,122,
248,237,-1811,
249,69,-1723,
249,146,-1646,
250,78,-1458,
7,255,2047,
7,255,2047,
250,56,-1480,
248,133,-1915,
248,216,-1832,
253,60,-708,
249,26,-1766,
249,99,-1693,
249,173,-1619,
249,247,-1545,
7,255,2047,
7,255,2047,
3,51,819,
248,121,-1927,
248,203,-1845,
251,10,-1270,
252,53,-971,
249,71,-1721,
249,150,-1642,
249,222,-1570,
7,255,2047,
7,255,2047,
7,255,2047,
248,102,-1946,
248,185,-1863,
249,117,-1675,
1,181,437,
249,23,-1769,
249,108,-1684,
249,183,-1609,
1,197,453,
7,255,2047,
7,255,2047,
248,59,-1989,
248,142,-1906,
248,230,-1818,
5,57,1337,
248,230,-1818,
249,22,-1770,
249,103,-1689,
250,233,-1303,
7,255,2047,
7,255,2047,
250,199,-1337,
248,79,-1969,
248,166,-1882,
252,132,-892,
248,244,-1804,
249,56,-1736,
249,133,-1659,
249,206,-1586,
7,255,2047,
7,255,2047,
3,154,922,
248,91,-1957,
248,174,-1874,
251,47,-1233,
252,216,-808,
249,37,-1755,
249,118,-1674,
249,191,-1601,
7,255,2047,
7,255,2047,
7,255,2047,
248,82,-1966,
248,166,-1882,
249,44,-1748,
255,239,-17,
249,27,-1765,
249,110,-1682,
249,185,-1607,
1,170,426,
7,255,2047,
7,255,2047,
248,58,-1990,
248,139,-1909,
248,222,-1826,
0,205,205,
248,245,-1803,
249,74,-1718,
249,151,-1641,
250,36,-1500,
7,255,2047,
7,255,2047,
251,24,-1256,
248,137,-1911,
248,219,-1829,
251,86,-1194,
249,75,-1717,
249,117,-1675,
249,189,-1603,
250,5,-1531,
7,255,2047,
7,255,2047,
5,113,1393,
248,131,-1917,
248,214,-1834,
250,45,-1491,
251,52,-1228,
249,102,-1690,
249,178,-1614,
249,248,-1544,
7,255,2047,
7,255,2047,
7,255,2047,
248,111,-1937,
248,195,-1853,
249,35,-1757,
252,218,-806,
249,90,-1702,
249,168,-1624,
249,237,-1555,
0,114,114,
7,255,2047,
7,255,2047,
248,103,-1945,
248,181,-1867,
249,7,-1785,
253,186,-582,
249,71,-1721,
249,151,-1641,
249,221,-1571,
250,253,-1283,
7,255,2047,
7,255,2047,
252,6,-1018,
248,163,-1885,
248,245,-1803,
251,50,-1230,
249,77,-1715,
249,148,-1644,
249,219,-1573,
250,31,-1505,
7,255,2047,
7,255,2047,
4,242,1266,
248,168,-1880,
248,250,-1798,
249,139,-1653,
250,77,-1459,
249,163,-1629,
249,233,-1559,
250,43,-1493,
7,255,2047,
7,255,2047,
7,255,2047,
248,140,-1908,
248,222,-1826,
249,162,-1630,
4,194,1218,
249,21,-1771,
249,108,-1684,
249,185,-1607,
255,119,-137,
7,255,2047,
7,255,2047,
248,73,-1975,
248,152,-1896,
248,235,-1813,
1,0,256,
249,2,-1790,
249,78,-1714,
249,156,-1636,
250,103,-1433,
7,255,2047,
7,255,2047,
251,237,-1043,
248,125,-1923,
248,207,-1841,
250,186,-1350,
249,56,-1736,
249,117,-1675,
249,188,-1604,
250,3,-1533,
7,255,2047,
7,255,2047,
6,99,1635,
248,133,-1915,
248,214,-1834,
249,132,-1660,
250,152,-1384,
249,122,-1670,
249,196,-1596,
250,8,-1528,
7,255,2047,
7,255,2047,
7,255,2047,
248,126,-1922,
248,211,-1837,
249,42,-1750,
255,25,-231,
249,83,-1709,
249,163,-1629,
249,234,-1558,
254,34,-478,
7,255,2047,
7,255,2047,
248,119,-1929,
248,194,-1854,
249,19,-1773,
250,203,-1333,
249,123,-1669,
249,191,-1601,
250,3,-1533,
250,119,-1417,
7,255,2047,
7,255,2047,
253,40,-728,
248,198,-1850,
249,22,-1770,
250,101,-1435,
249,132,-1660,
249,189,-1603,
250,2,-1534,
250,69,-1467,
7,255,2047,
7,255,2047,
6,233,1769,
248,181,-1867,
249,7,-1785,
249,175,-1617,
251,8,-1272,
249,163,-1629,
249,234,-1558,
250,44,-1492,
6,212,1748,
7,255,2047,
7,255,2047,
248,155,-1893,
248,238,-1810,
249,62,-1730,
252,167,-857,
249,139,-1653,
249,214,-1578,
250,25,-1511,
253,179,-589,
7,255,2047,
7,255,2047,
248,170,-1878,
248,221,-1827,
249,45,-1747,
251,51,-1229,
249,143,-1649,
249,214,-1578,
250,23,-1513,
250,152,-1384,
7,255,2047,
7,255,2047,
254,198,-314,
248,199,-1849,
249,24,-1768,
251,123,-1157,
249,210,-1582,
249,165,-1627,
249,237,-1555,
250,51,-1485,
7,255,2047,
7,255,2047,
7,236,2028,
248,167,-1881,
248,248,-1800,
249,186,-1606,
252,106,-918,
249,134,-1658,
249,211,-1581,
250,23,-1513,
6,49,1585,
7,255,2047,
7,255,2047,
248,143,-1905,
248,228,-1820,
249,53,-1739,
253,222,-546,
249,114,-1678,
249,191,-1601,
250,6,-1530,
254,166,-346,
7,255,2047,
7,255,2047,
248,150,-1898,
248,200,-1848,
249,25,-1767,
252,77,-947,
249,101,-1691,
249,175,-1617,
249,247,-1545,
250,115,-1421,
7,255,2047,
7,255,2047,
255,122,-134,
248,174,-1874,
249,2,-1790,
250,99,-1437,
249,152,-1640,
249,159,-1633,
249,232,-1560,
250,44,-1492,
7,255,2047,
7,255,2047,
7,232,2024,
248,158,-1890,
248,243,-1805,
249,130,-1662,
251,117,-1163,
249,141,-1651,
249,215,-1577,
250,26,-1510,
6,129,1665,
7,255,2047,
7,255,2047,
248,139,-1909,
248,222,-1826,
249,47,-1745,
253,127,-641,
249,115,-1677,
249,190,-1602,
250,5,-1531,
252,8,-1016,
7,255,2047,
7,255,2047,
248,186,-1862,
248,222,-1826,
249,45,-1747,
251,9,-1271,
249,143,-1649,
249,215,-1577,
250,24,-1512,
250,104,-1432,
7,255,2047,
7,255,2047,
255,26,-230,
248,213,-1835,
249,36,-1756,
249,221,-1571,
249,153,-1639,
249,215,-1577,
250,23,-1513,
250,87,-1449,
7,255,2047,
7,255,2047,
7,255,2047,
248,189,-1859,
249,13,-1779,
249,90,-1702,
249,153,-1639,
249,212,-1580,
250,14,-1522,
250,75,-1461,
4,246,1270,
7,255,2047,
7,255,2047,
248,183,-1865,
249,8,-1784,
249,86,-1706,
249,165,-1627,
249,210,-1582,
250,12,-1524,
250,72,-1464,
253,159,-609,
7,255,2047,
7,255,2047,
248,196,-1852,
248,254,-1794,
249,76,-1716,
249,143,-1649,
249,205,-1587,
250,9,-1527,
250,69,-1467,
250,127,-1409,
7,255,2047,
7,255,2047,
0,129,129,
249,9,-1783,
249,89,-1703,
4,6,1030,
7,255,2047,
248,181,-1867,
249,13,-1779,
249,95,-1697,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,77,-1971,
253,238,-530,
7,255,2047,
253,107,-661,
248,0,-2048,
248,70,-1978,
6,76,1612,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,75,-1973,
7,255,2047,
1,48,304,
248,0,-2048,
248,0,-2048,
251,125,-1155,
7,255,2047,
7,255,2047,
248,91,-1957,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
0,39,39,
248,0,-2048,
248,0,-2048,
0,172,172,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,255,-1537,
7,255,2047,
248,5,-2043,
248,0,-2048,
248,0,-2048,
2,81,593,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
0,178,178,
248,0,-2048,
248,0,-2048,
251,155,-1125,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,3,1795,
5,217,1497,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,36,292,
248,0,-2048,
248,0,-2048,
1,28,284,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,215,-1577,
7,255,2047,
249,217,-1575,
248,0,-2048,
248,0,-2048,
2,209,721,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
2,182,694,
248,0,-2048,
248,0,-2048,
250,55,-1481,
7,255,2047,
7,255,2047,
248,52,-1996,
248,0,-2048,
248,0,-2048,
7,236,2028,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,84,340,
248,0,-2048,
248,0,-2048,
255,243,-13,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,31,-1761,
7,255,2047,
248,140,-1908,
248,0,-2048,
248,0,-2048,
0,116,116,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
0,248,248,
248,0,-2048,
248,0,-2048,
250,27,-1509,
7,255,2047,
7,255,2047,
249,104,-1688,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,138,394,
248,0,-2048,
248,0,-2048,
253,213,-555,
7,255,2047,
248,0,-2048,
