First Byte, Second Byte, Brainwave Value, 25
2,224,736,
2,202,714,
248,116,-1932,
255,239,-17,
3,26,794,
249,250,-1542,
3,61,829,
3,8,776,
2,224,736,
2,193,705,
2,166,678,
2,145,657,
252,236,-788,
249,104,-1688,
2,246,758,
253,41,-727,
0,203,203,
2,234,746,
2,192,704,
2,160,672,
2,133,645,
2,109,621,
1,56,312,
248,0,-2048,
2,228,740,
1,83,339,
252,43,-981,
2,218,730,
2,169,681,
2,137,649,
2,113,625,
2,89,601,
2,73,585,
248,0,-2048,
0,233,233,
2,179,691,
248,250,-1798,
3,11,779,
2,210,722,
2,172,684,
2,145,657,
2,119,631,
2,103,615,
248,0,-2048,
248,0,-2048,
3,80,848,
248,0,-2048,
3,45,813,
3,105,873,
3,56,824,
3,21,789,
2,247,759,
2,219,731,
252,83,-941,
248,0,-2048,
3,189,957,
252,51,-973,
255,62,-194,
3,184,952,
3,130,898,
3,89,857,
3,55,823,
3,25,793,
1,252,508,
248,0,-2048,
2,214,726,
1,196,452,
250,236,-1300,
3,218,986,
3,155,923,
3,114,882,
3,80,848,
3,45,813,
3,25,793,
248,0,-2048,
251,26,-1254,
3,130,898,
248,0,-2048,
4,41,1065,
3,224,992,
3,173,941,
3,135,903,
3,101,869,
3,73,841,
248,97,-1951,
248,0,-2048,
4,13,1037,
249,120,-1672,
3,35,803,
3,248,1016,
3,195,963,
3,153,921,
3,118,886,
3,87,855,
254,170,-342,
248,0,-2048,
3,219,987,
253,120,-648,
253,137,-631,
4,58,1082,
3,251,1019,
3,208,976,
3,168,936,
3,134,902,
2,244,756,
248,0,-2048,
255,45,-211,
2,59,571,
249,57,-1735,
4,131,1155,
4,57,1081,
4,7,1031,
3,220,988,
3,183,951,
3,156,924,
248,0,-2048,
248,0,-2048,
3,242,1010,
248,0,-2048,
4,219,1243,
4,153,1177,
4,96,1120,
4,48,1072,
4,6,1030,
3,228,996,
250,22,-1514,
248,0,-2048,
4,181,1205,
250,168,-1368,
2,135,647,
4,151,1175,
4,89,1113,
4,42,1066,
4,2,1026,
3,219,987,
0,251,251,
248,0,-2048,
3,64,832,
254,232,-280,
252,15,-1009,
4,186,1210,
4,116,1140,
4,66,1090,
4,22,1046,
3,238,1006,
3,198,966,
248,0,-2048,
254,183,-329,
3,146,914,
248,235,-1813,
4,178,1202,
4,102,1126,
4,50,1074,
4,6,1030,
3,224,992,
3,194,962,
248,0,-2048,
248,0,-2048,
4,103,1127,
248,0,-2048,
4,141,1165,
4,147,1171,
4,87,1111,
4,40,1064,
4,0,1024,
3,219,987,
252,110,-914,
248,0,-2048,
4,128,1152,
251,4,-1276,
255,239,-17,
4,181,1205,
4,116,1140,
4,66,1090,
4,23,1047,
3,241,1009,
2,121,633,
248,0,-2048,
2,202,714,
1,88,344,
251,13,-1267,
4,179,1203,
4,106,1130,
4,56,1080,
4,12,1036,
3,229,997,
3,201,969,
248,0,-2048,
251,151,-1129,
3,247,1015,
248,14,-2034,
4,194,1218,
4,115,1139,
4,59,1083,
4,17,1041,
3,232,1000,
3,201,969,
248,0,-2048,
248,0,-2048,
4,115,1139,
248,0,-2048,
3,130,898,
4,177,1201,
4,114,1138,
4,66,1090,
4,24,1048,
3,242,1010,
254,100,-412,
248,0,-2048,
4,41,1065,
252,206,-818,
254,24,-488,
4,214,1238,
4,146,1170,
4,96,1120,
4,51,1075,
4,9,1033,
3,41,809,
248,0,-2048,
254,54,-458,
1,204,460,
249,106,-1686,
5,28,1308,
4,205,1229,
4,150,1174,
4,103,1127,
4,59,1083,
4,29,1053,
248,0,-2048,
248,0,-2048,
4,8,1032,
248,0,-2048,
5,91,1371,
5,9,1289,
4,202,1226,
4,153,1177,
4,106,1130,
4,70,1094,
248,101,-1947,
248,0,-2048,
3,205,973,
248,0,-2048,
2,75,587,
5,120,1400,
5,49,1329,
4,247,1271,
4,198,1222,
4,153,1177,
