First Byte, Second Byte, Brainwave Value, 16
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
254,57,-455,
7,255,2047,
7,255,2047,
252,27,-997,
248,0,-2048,
0,211,211,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,198,1222,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
253,84,-684,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,7,1799,
248,0,-2048,
248,0,-2048,
5,144,1424,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
251,252,-1028,
7,255,2047,
7,255,2047,
254,35,-477,
248,0,-2048,
252,75,-949,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,61,1085,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
1,171,427,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
2,52,564,
7,255,2047,
7,255,2047,
248,11,-2037,
248,0,-2048,
3,243,1011,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
249,141,-1651,
7,255,2047,
7,255,2047,
1,131,387,
248,0,-2048,
252,89,-935,
7,255,2047,
7,255,2047,
251,118,-1162,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,123,1915,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,236,1260,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,99,-157,
7,255,2047,
7,255,2047,
252,115,-909,
248,0,-2048,
0,86,86,
