First Byte, Second Byte, Brainwave Value, 29
7,255,2047,
250,154,-1382,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
255,127,-129,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
6,250,1786,
248,0,-2048,
248,0,-2048,
4,60,1084,
7,255,2047,
7,255,2047,
253,158,-610,
248,0,-2048,
7,188,1980,
7,255,2047,
7,255,2047,
250,114,-1422,
248,0,-2048,
255,61,-195,
7,255,2047,
7,255,2047,
4,116,1140,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,201,-1847,
248,0,-2048,
248,0,-2048,
251,236,-1044,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
6,73,1609,
7,255,2047,
7,255,2047,
1,34,290,
248,0,-2048,
6,155,1691,
7,255,2047,
7,255,2047,
251,206,-1074,
248,0,-2048,
4,192,1216,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,11,-2037,
248,0,-2048,
248,0,-2048,
7,247,2039,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
4,228,1252,
248,0,-2048,
248,0,-2048,
5,208,1488,
7,255,2047,
7,255,2047,
249,143,-1649,
248,0,-2048,
4,185,1209,
7,255,2047,
6,150,1686,
248,0,-2048,
248,0,-2048,
253,252,-516,
7,255,2047,
7,255,2047,
3,54,822,
248,0,-2048,
253,103,-665,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,159,-353,
248,0,-2048,
248,0,-2048,
253,218,-550,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,54,-202,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
249,121,-1671,
7,255,2047,
7,255,2047,
251,60,-1220,
248,0,-2048,
254,141,-371,
7,255,2047,
4,203,1227,
248,0,-2048,
248,0,-2048,
248,156,-1892,
7,255,2047,
7,255,2047,
6,8,1544,
248,0,-2048,
250,51,-1485,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
253,185,-583,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
1,234,490,
7,255,2047,
255,246,-10,
248,0,-2048,
248,0,-2048,
249,207,-1585,
7,255,2047,
7,255,2047,
255,13,-243,
248,0,-2048,
0,120,120,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,38,-2010,
7,255,2047,
7,255,2047,
6,50,1586,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
254,235,-277,
248,0,-2048,
248,0,-2048,
7,232,2024,
7,255,2047,
7,255,2047,
249,178,-1614,
248,0,-2048,
7,155,1947,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
255,244,-12,
7,255,2047,
7,255,2047,
3,50,818,
248,0,-2048,
1,66,322,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
7,214,2006,
248,0,-2048,
248,0,-2048,
7,255,2047,
7,255,2047,
248,0,-2048,
248,0,-2048,
248,0,-2048,
1,129,385,
7,255,2047,
7,255,2047,
248,0,-2048,
